case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),Unknown,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),WW,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),WW,Israel,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),Central Europe,MENA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),GCR,APAC,1,4,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),UAE,MENA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),UK,UK,0,4,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),WW,EEA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Other,Central Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Other,GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Other,UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Webform & API,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Webform & API,WW,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Email (Internal),UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Email (Merchant),UAE,MENA,10,0,10
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Fin (Dashboard),UK,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Other,KSA,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Other,UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Webform & API,UAE,MENA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Email (Internal),UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Email (Merchant),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Fin (Dashboard),NORAM,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Other,NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Webform & API,NORAM,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Crypto,Crypto,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),GCR,APAC,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),NORAM,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),NORAM,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),SAT,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Singapore/ANZ,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Southern Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UAE,MENA,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UK,Crypto,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UK,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Unknown,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Unknown,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,APAC,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),WW,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Crypto,Crypto,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),GCR,APAC,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),NORAM,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),NORAM,Israel,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),SAT,SAT,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Singapore/ANZ,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Singapore/ANZ,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UAE,MENA,14,0,14
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UK,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),UK,UK,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Unknown,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),Unknown,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,APAC,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,EEA,7,0,7
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,UK,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Merchant),WW,WW,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Crypto,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),NORAM,Israel,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),NORAM,UK,0,3,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),SAT,NORAM,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Singapore/ANZ,APAC,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UAE,MENA,1,3,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,Crypto,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),UK,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),Unknown,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Fin (Dashboard),WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,GCR,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,SAT,SAT,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,Southern Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,UK,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,UK,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,WW,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Other,WW,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,Crypto,Crypto,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,GCR,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,NORAM,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,NORAM,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Webform & API,Northern Europe,EEA,1,0,1
