case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Internal),WW,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),GCR,APAC,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),UAE,MENA,5,0,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),UK,UK,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Email (Merchant),WW,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),Central Europe,MENA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),GCR,APAC,1,4,5
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),UAE,MENA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),UK,UK,0,4,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Fin (Dashboard),WW,EEA,0,2,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Other,Central Europe,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Other,UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Webform & API,UK,UK,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 3,Webform & API,WW,Israel,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Email (Internal),UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Email (Merchant),UAE,MENA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Fin (Dashboard),UK,UK,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Other,KSA,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Other,UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Tier 4,Webform & API,UAE,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Email (Merchant),GCR,APAC,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Fin (Dashboard),NORAM,EEA,0,1,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Enterprise,Unknown,Webform & API,NORAM,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),Crypto,Crypto,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Premium,Tier 1,Email (Internal),GCR,APAC,5,0,5
